unit	procedure	object_offset	entry_record_offset	code_block	offset_in_block	segment_offset	file_offset	source_ranges
MONSTRA.TPU	<initialization>		0x00000	0x0ffff	0x0ffff			
MONSTRA.TPU	WSTEP	0x002d6	0x00008	0x00000	0x0022b	0x0022b	0x0065b	MONSTRA.PAS:10-51
PRZEDM.TPU	<initialization>		0x00000	0x0ffff	0x0ffff			
PRZEDM.TPU	BRANIE	0x00bc2	0x00008	0x000d0	0x0023f	0x05cad	0x0793d	PRZEDM.PAS:908-963
PRZEDM.TPU	UZYWANIE	0x00be4	0x00010	0x000d8	0x007c6	0x0673c	0x083cc	PRZEDM.PAS:965-1108
PRZEDM.TPU	PIERDOLY	0x00c08	0x00018	0x000e0	0x0003b	0x07098	0x08d28	PRZEDM.PAS:1111-1122
PRZEDM.TPU	TARCZA	0x00c2c	0x00020	0x000c0	0x00022	0x041c3	0x05e53	PRZEDM.PAS:601-608
PRZEDM.TPU	WALKA	0x00c4e	0x00028	0x000c8	0x004ec	0x0471d	0x063ad	PRZEDM.PAS:611-905
PRZEDM.TPU	MINIARENA	0x00c6f	0x00030	0x000e8	0x00299	0x073d7	0x09067	PRZEDM.PAS:1124-1433
PRZEDM.TPU	KTO	0x00c94	0x00038	0x000b8	0x00523	0x03d89	0x05a19	PRZEDM.PAS:569-598
PRZEDM.TPU	MODE	0x00cb3	0x00040	0x000a0	0x00000	0x0338b	0x0501b	PRZEDM.PAS:543-546
PRZEDM.TPU	SLABO	0x00cd3	0x00048	0x00028	0x00047	0x010e0	0x02d70	PRZEDM.PAS:225-243
PRZEDM.TPU	MNIEJSLABO	0x00cf4	0x00050	0x00030	0x00038	0x011ee	0x02e7e	PRZEDM.PAS:245-263
PRZEDM.TPU	SREDNIO	0x00d1a	0x00058	0x00038	0x00038	0x01307	0x02f97	PRZEDM.PAS:265-283
PRZEDM.TPU	TRUDNO	0x00d3d	0x00060	0x00040	0x00038	0x01429	0x030b9	PRZEDM.PAS:285-303
PRZEDM.TPU	BTRUDNO	0x00d5f	0x00068	0x00060	0x00038	0x018bd	0x0354d	PRZEDM.PAS:365-383
PRZEDM.TPU	VEASY	0x00d82	0x00070	0x00048	0x00038	0x0154b	0x031db	PRZEDM.PAS:305-323
PRZEDM.TPU	EASY	0x00da3	0x00078	0x00050	0x00038	0x01677	0x03307	PRZEDM.PAS:325-343
PRZEDM.TPU	NEASY	0x00dc3	0x00080	0x00058	0x00038	0x0179a	0x0342a	PRZEDM.PAS:345-363
PRZEDM.TPU	GARNITURZYSK	0x00de4	0x00088	0x00078	0x00049	0x03060	0x04cf0	PRZEDM.PAS:490-498
