Code blocks (ofs  size  relocrecs  owner)
  0000  0005  0000  FFFF
  0008  0072  0000  FFFF
  0010  0021  0000  FFFF
  0018  001D  0000  FFFF
  0020  0034  0000  FFFF
  0028  0042  0010  FFFF
  0030  0046  0010  FFFF
  0038  007C  0008  FFFF
  0040  007C  0000  FFFF
  0048  002B  0000  FFFF
  0050  0069  0000  FFFF
  0058  00C9  0000  FFFF
  0060  0064  0000  FFFF
  0068  004B  0008  FFFF
  0070  006E  0008  FFFF
  0078  001A  0008  FFFF
  0080  0099  0038  FFFF
  0088  0068  0018  FFFF
  0090  0039  0010  FFFF
