ofs,kind,name,private,info1,info2,info3,info4,flags
226,0x53,Dos,False,sys,,,,
242,0x53,System,False,sys,,,,
261,0x4f,FCarry,False,const,type=System.ofs0152,valofs=0113,raw@0113,
279,0x4f,FParity,False,const,type=System.ofs0152,valofs=0126,raw@0126,
298,0x4f,FAuxiliary,False,const,type=System.ofs0152,valofs=013C,raw@013C,
320,0x4f,FZero,False,const,type=System.ofs0152,valofs=014D,raw@014D,
337,0x4f,FSign,False,const,type=System.ofs0152,valofs=015E,raw@015E,
354,0x4f,FOverflow,False,const,type=System.ofs0152,valofs=0173,raw@0173,
375,0x4f,fmClosed,False,const,type=System.ofs0152,valofs=0187,raw@0187,
395,0x4f,fmInput,False,const,type=System.ofs0152,valofs=019A,raw@019A,
414,0x4f,fmOutput,False,const,type=System.ofs0152,valofs=01AE,raw@01AE,
434,0x4f,fmInOut,False,const,type=System.ofs0152,valofs=01C1,raw@01C1,
453,0x4f,ReadOnly,False,const,type=System.ofs0152,valofs=01D5,raw@01D5,
473,0x4f,Hidden,False,const,type=System.ofs0152,valofs=01E7,raw@01E7,
491,0x4f,SysFile,False,const,type=System.ofs0152,valofs=01FA,raw@01FA,
510,0x4f,VolumeID,False,const,type=System.ofs0152,valofs=020E,raw@020E,
530,0x4f,Directory,False,const,type=System.ofs0152,valofs=0223,raw@0223,
551,0x4f,Archive,False,const,type=System.ofs0152,valofs=0236,raw@0236,
570,0x4f,AnyFile,False,const,type=System.ofs0152,valofs=0249,raw@0249,
589,0x50,ComStr,False,type,defofs=026F,unit=00E9,string[127],
639,0x50,PathStr,False,type,defofs=02A2,unit=00E9,string[79],
690,0x50,DirStr,False,type,defofs=02D4,unit=00E9,string[67],
740,0x50,NameStr,False,type,defofs=0307,unit=00E9,string[8],
791,0x50,ExtStr,False,type,defofs=0339,unit=00E9,string[4],
841,0x50,Registers,False,type,defofs=035A,unit=00E9,Record,
1189,0x50,FileRec,False,type,defofs=04B4,unit=00E9,Record,
1460,0x50,TextBuf,False,type,defofs=05D7,unit=00E9,array[Dos.ofs05C3] of System.ofs01CE,
1511,0x50,TextRec,False,type,defofs=05F6,unit=00E9,Record,
1937,0x50,SearchRec,False,type,defofs=07A2,unit=00E9,Record,
2143,0x50,DateTime,False,type,defofs=086F,unit=00E9,Record,
2293,0x51,DosError,False,var,block=0000,offset=0000,type=System.ofs012A,flags=00
2316,0x52,DosVersion,False,proc,entryofs=0008,vmt=0,ret=System.ofs013E,code_type=09 obj=00
