ofs,kind,name,private,info1,info2,info3,info4,flags
226,0x53,PRZEDM,False,sys,,,,
245,0x53,System,False,sys,,,,
264,0x53,crt,False,sys,,,,
280,0x53,monstra,False,sys,,,,
300,0x53,dos,False,sys,,,,
316,0x51,MMIECZ,False,var,block=0000,offset=0000,type=Integer,flags=00
337,0x51,MIECHO2,False,var,block=0000,offset=0002,type=Integer,flags=00
359,0x51,PRZED,False,var,block=0000,offset=0004,type=Integer,flags=00
379,0x51,MTARCZA,False,var,block=0000,offset=0006,type=Integer,flags=00
401,0x51,SERCE,False,var,block=0000,offset=0008,type=Integer,flags=00
421,0x51,DYPLOM,False,var,block=0000,offset=000A,type=Integer,flags=00
442,0x51,FAJKA,False,var,block=0000,offset=000C,type=Integer,flags=00
462,0x51,MAD,False,var,block=0000,offset=000E,type=Integer,flags=00
480,0x51,SIL,False,var,block=0000,offset=0010,type=Integer,flags=00
498,0x51,ZRE,False,var,block=0000,offset=0012,type=Integer,flags=00
516,0x51,MBUTELKA,False,var,block=0000,offset=0014,type=Integer,flags=00
539,0x51,PRA,False,var,block=0000,offset=0016,type=Integer,flags=00
557,0x51,MAXMAD,False,var,block=0008,offset=0000,type=Integer,flags=00
578,0x51,MAXSIL,False,var,block=0008,offset=0002,type=Integer,flags=00
599,0x51,MAXZRE,False,var,block=0008,offset=0004,type=Integer,flags=00
620,0x51,ENERGIA,False,var,block=0008,offset=0006,type=Integer,flags=00
642,0x51,FUKS,False,var,block=0008,offset=0008,type=Integer,flags=00
661,0x51,PACZEK,False,var,block=0008,offset=000A,type=Integer,flags=00
682,0x51,CIASTKO,False,var,block=0008,offset=000C,type=Integer,flags=00
704,0x51,SUCHA,False,var,block=0008,offset=000E,type=Integer,flags=00
724,0x51,CHLEB,False,var,block=0008,offset=0010,type=Integer,flags=00
744,0x51,BULKA,False,var,block=0008,offset=0012,type=Integer,flags=00
764,0x51,WEKA,False,var,block=0008,offset=0014,type=Integer,flags=00
783,0x51,MANA,False,var,block=0010,offset=0000,type=Integer,flags=00
802,0x51,MAXMANA,False,var,block=0010,offset=0002,type=Integer,flags=00
824,0x51,WROGEN,False,var,block=0010,offset=0004,type=Integer,flags=00
845,0x51,TEST1,False,var,block=0010,offset=0006,type=Integer,flags=00
865,0x51,MINIKUNSZT,False,var,block=0010,offset=0008,type=Integer,flags=00
890,0x51,WROGSIL,False,var,block=0010,offset=000A,type=Integer,flags=00
912,0x51,WROGZRE,False,var,block=0010,offset=000C,type=Integer,flags=00
934,0x51,ON,False,var,block=0010,offset=000E,type=Integer,flags=00
951,0x51,TY,False,var,block=0010,offset=0010,type=Integer,flags=00
968,0x51,SZANSA,False,var,block=0010,offset=0012,type=Integer,flags=00
989,0x51,WPYSK,False,var,block=0010,offset=0014,type=Integer,flags=00
1009,0x51,PRO,False,var,block=0018,offset=0000,type=Integer,flags=00
1027,0x51,ILOSC,False,var,block=0018,offset=0002,type=Integer,flags=00
1047,0x51,PAR,False,var,block=0018,offset=0004,type=Integer,flags=00
1065,0x51,KOP,False,var,block=0018,offset=0006,type=Integer,flags=00
1083,0x51,KOPM,False,var,block=0018,offset=0008,type=Integer,flags=00
1102,0x51,KOPHP,False,var,block=0018,offset=000A,type=Integer,flags=00
1122,0x51,ZWIEJ,False,var,block=0018,offset=000C,type=Integer,flags=00
1142,0x51,WIMP,False,var,block=0018,offset=000E,type=Integer,flags=00
1161,0x51,PASZOL,False,var,block=0018,offset=0010,type=Integer,flags=00
1182,0x51,KUNSZT,False,var,block=0018,offset=0012,type=Integer,flags=00
1203,0x51,MIECHO,False,var,block=0018,offset=0014,type=Integer,flags=00
1224,0x51,ARENA,False,var,block=0018,offset=0016,type=Integer,flags=00
1244,0x51,KORNIK,False,var,block=0020,offset=0000,type=Integer,flags=00
1265,0x51,MUCHA,False,var,block=0020,offset=0002,type=Integer,flags=00
1285,0x51,BAKTERIA,False,var,block=0020,offset=0004,type=Integer,flags=00
