Code blocks (ofs  size  relocrecs  owner)
  0000  028A  01C0  FFFF
  0008  0263  0120  FFFF
  0010  005B  0040  FFFF
  0018  001C  0038  FFFF
  0020  0041  0030  FFFF
  0028  2643  0580  FFFF
  0030  041A  00F0  FFFF
  0038  0305  0198  FFFF
  0040  00A4  0028  FFFF
  0048  0372  0050  FFFF
  0050  01B4  0028  FFFF
  0058  019C  0068  FFFF
  0060  0091  0038  FFFF
  0068  0077  0028  FFFF
  0070  0067  0028  FFFF
  0078  0025  0018  FFFF
  0080  0090  0048  FFFF
  0088  00A9  0048  FFFF
  0090  00A2  0048  FFFF
  0098  004A  0018  FFFF
  00A0  01BF  0050  FFFF
  00A8  0074  0010  FFFF
  00B0  0083  0010  FFFF
  00B8  009D  0010  FFFF
  00C0  0096  0010  FFFF
  00C8  0088  0010  FFFF
  00D0  00E6  0010  FFFF
  00D8  0018  0000  FFFF
  00E0  0115  0028  FFFF
  00E8  006B  0010  FFFF
  00F0  0217  0000  FFFF
  00F8  0160  0000  FFFF
  0100  00E7  0040  FFFF
  0108  0315  0000  FFFF
  0110  004C  0058  FFFF
  0118  0473  0170  FFFF
  0120  00A2  0050  FFFF
  0128  00E3  0000  FFFF
  0130  0347  0030  FFFF
  0138  007C  0010  FFFF
  0140  0096  0010  FFFF
  0148  008F  0010  FFFF
  0150  008C  0018  FFFF
  0158  0038  0000  FFFF
  0160  0013  0000  FFFF
  0168  0046  0008  FFFF
  0170  0012  0010  FFFF
