ofs,kind,name,private,info1,info2,info3,info4,flags
568,0x57,Abs,False,sys,,,,
577,0x57,Addr,False,sys,,,,
587,0x56,Append,False,sys,,,,
599,0x57,ArcTan,False,sys,,,,
611,0x56,Assign,False,sys,,,,
623,0x57,Assigned,False,sys,,,,
637,0x56,BlockRead,False,sys,,,,
652,0x56,BlockWrite,False,sys,,,,
668,0x50,Boolean,False,type,defofs=0172,unit=07F2,boolean,
683,0x56,Break,False,sys,,,,
694,0x50,Byte,False,type,defofs=0116,unit=07F2,byte,
706,0x50,Bytebool,False,type,defofs=0186,unit=07F2,boolean,
722,0x50,Char,False,type,defofs=01CE,unit=07F2,char,
734,0x56,ChDir,False,sys,,,,
745,0x57,Chr,False,sys,,,,
754,0x56,Close,False,sys,,,,
765,0x50,Comp,False,type,defofs=00EA,unit=07F2,comp,
777,0x57,Concat,False,sys,,,,
789,0x56,Continue,False,sys,,,,
803,0x57,Copy,False,sys,,,,
813,0x57,Cos,False,sys,,,,
822,0x57,CSeg,False,sys,,,,
832,0x56,Dec,False,sys,,,,
841,0x56,Delete,False,sys,,,,
853,0x56,Dispose,False,sys,,,,
866,0x50,Double,False,type,defofs=00E2,unit=07F2,double,
880,0x57,DSeg,False,sys,,,,
890,0x57,Eof,False,sys,,,,
899,0x57,Eoln,False,sys,,,,
909,0x56,Erase,False,sys,,,,
920,0x56,Exclude,False,sys,,,,
933,0x56,Exit,False,sys,,,,
943,0x57,Exp,False,sys,,,,
952,0x50,Extended,False,type,defofs=00F2,unit=07F2,extended,
968,0x56,Fail,False,sys,,,,
978,0x4f,False,False,const,type=Boolean,valofs=03DF,false,
995,0x57,FilePos,False,sys,,,,
1008,0x57,FileSize,False,sys,,,,
1022,0x56,FillChar,False,sys,,,,
1036,0x56,Flush,False,sys,,,,
1047,0x57,Frac,False,sys,,,,
1057,0x56,FreeMem,False,sys,,,,
1070,0x56,GetDir,False,sys,,,,
1082,0x56,GetMem,False,sys,,,,
1094,0x56,Halt,False,sys,,,,
1104,0x57,Hi,False,sys,,,,
1112,0x57,High,False,sys,,,,
1122,0x56,Inc,False,sys,,,,
1131,0x56,Include,False,sys,,,,
1144,0x56,Insert,False,sys,,,,
1156,0x57,Int,False,sys,,,,
1165,0x50,Integer,False,type,defofs=012A,unit=07F2,integer,
1180,0x57,IOResult,False,sys,,,,
1194,0x57,Length,False,sys,,,,
1206,0x57,Ln,False,sys,,,,
1214,0x57,Lo,False,sys,,,,
1222,0x57,Low,False,sys,,,,
1231,0x50,Longbool,False,type,defofs=01AE,unit=07F2,longbool,
1247,0x50,Longint,False,type,defofs=0152,unit=07F2,longint,
1262,0x56,Mark,False,sys,,,,
1272,0x57,MaxAvail,False,sys,,,,
1286,0x4f,MaxInt,False,const,type=Longint,valofs=0514,32767,
1304,0x4f,MaxLongint,False,const,type=Longint,valofs=052A,2147483647,
1326,0x5a,Mem,False,sys,,,,
1337,0x57,MemAvail,False,sys,,,,
1351,0x5a,MemL,False,sys,,,,
1363,0x5a,MemW,False,sys,,,,
1375,0x56,MkDir,False,sys,,,,
1386,0x56,Move,False,sys,,,,
1396,0x58,New,False,sys,,,,
1405,0x57,Odd,False,sys,,,,
1414,0x57,Ofs,False,sys,,,,
1423,0x5b,OpenString,False,sys,,,,
1437,0x57,Ord,False,sys,,,,
1446,0x57,ParamCount,False,sys,,,,
1462,0x57,ParamStr,False,sys,,,,
1476,0x50,PChar,False,type,defofs=01EE,unit=07F2,pchar,
1489,0x57,Pi,False,sys,,,,
1497,0x50,Pointer,False,type,defofs=00AE,unit=07F2,pointer,
1512,0x59,Port,False,sys,,,,
1521,0x59,PortW,False,sys,,,,
1531,0x57,Pos,False,sys,,,,
1540,0x57,Pred,False,sys,,,,
1550,0x57,Ptr,False,sys,,,,
1559,0x57,Random,False,sys,,,,
1571,0x56,Randomize,False,sys,,,,
1586,0x56,Read,False,sys,,,,
1596,0x56,ReadLn,False,sys,,,,
1608,0x50,Real,False,type,defofs=00FA,unit=07F2,real,
1620,0x56,Release,False,sys,,,,
1633,0x56,Rename,False,sys,,,,
1645,0x56,Reset,False,sys,,,,
1656,0x56,Rewrite,False,sys,,,,
1669,0x56,RmDir,False,sys,,,,
1680,0x57,Round,False,sys,,,,
1691,0x56,RunError,False,sys,,,,
1705,0x56,Seek,False,sys,,,,
1715,0x57,SeekEof,False,sys,,,,
1728,0x57,SeekEoln,False,sys,,,,
1742,0x57,Seg,False,sys,,,,
1751,0x56,SetTextBuf,False,sys,,,,
1767,0x50,Shortint,False,type,defofs=0102,unit=07F2,shortint,
1783,0x57,Sin,False,sys,,,,
1792,0x50,Single,False,type,defofs=00DA,unit=07F2,single,
1806,0x57,SizeOf,False,sys,,,,
1818,0x57,SPtr,False,sys,,,,
1828,0x57,Sqr,False,sys,,,,
1837,0x57,Sqrt,False,sys,,,,
1847,0x57,SSeg,False,sys,,,,
1857,0x56,Str,False,sys,,,,
1866,0x57,Succ,False,sys,,,,
1876,0x57,Swap,False,sys,,,,
1886,0x50,Text,False,type,defofs=0096,unit=07F2,text,
1898,0x4f,True,False,const,type=Boolean,valofs=0776,true,
1914,0x57,Trunc,False,sys,,,,
1925,0x56,Truncate,False,sys,,,,
1939,0x57,TypeOf,False,sys,,,,
1951,0x57,UpCase,False,sys,,,,
1963,0x56,Val,False,sys,,,,
