; unit  block  +ofs  name                type
MONSTRA  0000   0000  MAXE                 type=Integer
MONSTRA  0000   0002  JAMNIK               type=Integer
MONSTRA  0000   0004  OWCZAREK             type=Integer
MONSTRA  0000   0006  SPANIEL              type=Integer
MONSTRA  0000   0008  PUDEL                type=Integer
MONSTRA  0000   000A  PIESEK               type=Integer
MONSTRA  0000   000C  TAKSOWKARZ           type=Integer
MONSTRA  0000   000E  SPRZEDAWCA           type=Integer
MONSTRA  0000   0010  ZAMIATACZ            type=Integer
MONSTRA  0008   0000  PIJAK                type=Integer
MONSTRA  0008   0002  ZEBRAK               type=Integer
MONSTRA  0008   0004  MINIBARMAN           type=Integer
MONSTRA  0008   0006  GRUBAS               type=Integer
MONSTRA  0008   0008  DJ                   type=Integer
MONSTRA  0008   000A  PEDAL                type=Integer
MONSTRA  0008   000C  PARA                 type=Integer
MONSTRA  0008   000E  MACIEK               type=Integer
MONSTRA  0008   0010  OGOL                 type=Integer
MONSTRA  0008   0012  DRZWI                type=Integer
MONSTRA  0008   0014  STARUCH              type=Integer
MONSTRA  0010   0000  SILNY                type=Integer
PRZEDM   0000   0000  MMIECZ               type=Integer
PRZEDM   0000   0002  MIECHO2              type=Integer
PRZEDM   0000   0004  PRZED                type=Integer
PRZEDM   0000   0006  MTARCZA              type=Integer
PRZEDM   0000   0008  SERCE                type=Integer
PRZEDM   0000   000A  DYPLOM               type=Integer
PRZEDM   0000   000C  FAJKA                type=Integer
PRZEDM   0000   000E  MAD                  type=Integer
PRZEDM   0000   0010  SIL                  type=Integer
PRZEDM   0000   0012  ZRE                  type=Integer
PRZEDM   0000   0014  MBUTELKA             type=Integer
PRZEDM   0000   0016  PRA                  type=Integer
PRZEDM   0008   0000  MAXMAD               type=Integer
PRZEDM   0008   0002  MAXSIL               type=Integer
PRZEDM   0008   0004  MAXZRE               type=Integer
PRZEDM   0008   0006  ENERGIA              type=Integer
PRZEDM   0008   0008  FUKS                 type=Integer
PRZEDM   0008   000A  PACZEK               type=Integer
