Code relocation records:
--- block 0000 ---
  0000:FF24 Relative Code unit=Crt blkoff=75C0
  0000:00CB Relative Code unit=U009A blkoff=0000
  0000:01A0 Relative Code unit=Crt blkoff=0000
  0000:0048 Relative Code unit=Crt blkoff=0231
  0000:0000 Relative Code unit=Crt blkoff=0236
  0000:0000 Relative Code unit=Crt blkoff=023C
  0000:0000 Relative Code unit=Crt blkoff=0241
  0000:01B0 Relative Code unit=Crt blkoff=0246
  0000:01D0 Relative Code unit=Crt blkoff=024E
  0000:0190 Relative Code unit=Crt blkoff=0253
  0000:0000 Relative Code unit=Crt blkoff=0258
  0000:0000 Relative Code unit=Crt blkoff=025D
  0000:01B0 Relative Code unit=U0011 blkoff=0262
  0000:01D0 Relative Code unit=Crt blkoff=026A
  0000:0190 Relative Code unit=Crt blkoff=026F
  0000:0000 Relative Code unit=Crt blkoff=0274
  0000:0000 Relative Code unit=Crt blkoff=0279
  0000:01B0 Relative Code unit=U0043 blkoff=027E
  0000:01D0 Relative Code unit=Crt blkoff=0286
  0000:0190 Relative Code unit=Crt blkoff=028B
  0000:0000 Relative Code unit=Crt blkoff=0290
  0000:0000 Relative Code unit=Crt blkoff=0295
  0000:01B0 Relative Code unit=U0058 blkoff=029A
  0000:01D0 Relative Code unit=Crt blkoff=02A2
  0000:0190 Relative Code unit=Crt blkoff=02A7
  0000:0000 Relative Code unit=Crt blkoff=02AC
  0000:0000 Relative Code unit=Crt blkoff=02B1
  0000:01B0 Relative Code unit=U008E blkoff=02B6
  0000:01D0 Relative Code unit=Crt blkoff=02BE
  0000:0190 Relative Code unit=Crt blkoff=02C3
  0000:0000 Relative Code unit=Crt blkoff=02C8
  0000:0000 Relative Code unit=Crt blkoff=02CD
  0000:01B0 Relative Code unit=U00C2 blkoff=02D2
  0000:01D0 Relative Code unit=Crt blkoff=02DA
  0000:0190 Relative Code unit=Crt blkoff=02DF
  0000:0000 Relative Code unit=Crt blkoff=02E4
  0000:0000 Relative Code unit=Crt blkoff=02E9
  0000:01B0 Relative Code unit=U00DE blkoff=02EE
  0000:01D0 Relative Code unit=Crt blkoff=02F6
  0000:0190 Relative Code unit=Crt blkoff=02FB
  0000:0000 Relative Code unit=Crt blkoff=0300
  0000:0000 Relative Code unit=Crt blkoff=0305
  0000:01B0 Relative Code unit=U0013 blkoff=030A
  0000:01D0 Relative Code unit=Crt blkoff=0312
  0000:0190 Relative Code unit=Crt blkoff=0317
  0000:0000 Relative Code unit=Crt blkoff=031C
  0000:0000 Relative Code unit=Crt blkoff=0321
  0000:01B0 Relative Code unit=U0048 blkoff=0326
  0000:01D0 Relative Code unit=Crt blkoff=032E
  0000:0190 Relative Code unit=Crt blkoff=0333
  0000:0000 Relative Code unit=Crt blkoff=0338
  0000:0000 Relative Code unit=Crt blkoff=033D
  0000:01B0 Relative Code unit=U0064 blkoff=0342
  0000:01D0 Relative Code unit=Crt blkoff=034A
  0000:0190 Relative Code unit=Crt blkoff=034F
  0000:0000 Relative Code unit=Crt blkoff=0354
  0000:0000 Relative Code unit=Crt blkoff=0359
  0000:01B0 Relative Code unit=U0080 blkoff=035E
  0000:01D0 Relative Code unit=Crt blkoff=0366
  0000:0190 Relative Code unit=Crt blkoff=036B
  0000:0000 Relative Code unit=Crt blkoff=0370
  0000:0000 Relative Code unit=Crt blkoff=0375
  0000:01B0 Relative Code unit=U009C blkoff=037A
  0000:01D0 Relative Code unit=Crt blkoff=0382
  0000:0190 Relative Code unit=Crt blkoff=0387
  0000:0000 Relative Code unit=Crt blkoff=038C
  0000:0000 Relative Code unit=Crt blkoff=0391
  0000:01B0 Relative Code unit=U00CC blkoff=0396
  0000:01D0 Relative Code unit=Crt blkoff=039E
  0000:0190 Relative Code unit=Crt blkoff=03A3
  0000:0000 Relative Code unit=Crt blkoff=03A8
  0000:0000 Relative Code unit=Crt blkoff=03AD
  0000:01B0 Relative Code unit=U00F7 blkoff=03B2
  0000:01D0 Relative Code unit=Crt blkoff=03BA
  0000:0190 Relative Code unit=Crt blkoff=03BF
  0000:0098 Relative Code unit=Crt blkoff=03C4
  0000:0090 Relative Code unit=Crt blkoff=03CD
  0000:0098 Relative Code unit=Crt blkoff=03D6
  0000:0090 Relative Code unit=Crt blkoff=03DF
  0000:0098 Relative Code unit=Crt blkoff=03E8
  0000:0090 Relative Code unit=Crt blkoff=03F1
  0000:0098 Relative Code unit=Crt blkoff=03FA
  0000:0090 Relative Code unit=Crt blkoff=0403
  0000:0098 Relative Code unit=Crt blkoff=040C
  0000:0090 Relative Code unit=Crt blkoff=0415
  0000:0098 Relative Code unit=Crt blkoff=041E
  0000:0090 Relative Code unit=Crt blkoff=0427
  0000:0098 Relative Code unit=Crt blkoff=0430
  0000:0090 Relative Code unit=Crt blkoff=0439
  0000:0098 Relative Code unit=Crt blkoff=0442
  0000:0090 Relative Code unit=Crt blkoff=044B
  0000:0098 Relative Code unit=Crt blkoff=0454
  0000:0090 Relative Code unit=Crt blkoff=045D
  0000:0098 Relative Code unit=Crt blkoff=0466
  0000:0090 Relative Code unit=Crt blkoff=046F
  0000:0000 Relative Code unit=Crt blkoff=0478
  0000:0000 Relative Code unit=Crt blkoff=047D
  0000:01B0 Relative Code unit=U0022 blkoff=0482
  0000:01D0 Relative Code unit=Crt blkoff=048A
  0000:0190 Relative Code unit=Crt blkoff=048F
