Code blocks (ofs  size  relocrecs  owner)
  0000  00FA  0100  0000
  0008  05D8  0608  001A
  0010  02A4  0270  0085
  0018  0277  0190  00A9
  0020  04AC  02A8  00C6
  0028  011D  0128  00E0
  0030  0119  0128  00FF
  0038  0122  0130  011E
  0040  0122  0130  013D
  0048  012C  0138  015C
  0050  0123  0130  017B
  0058  0123  0130  019A
  0060  0122  0130  01B9
  0068  12E9  0EC0  01D8
  0070  0387  0238  0240
  0078  00B0  0090  0259
  0080  009A  0068  026E
  0088  00D6  00C8  0282
  0090  00CD  00A8  029A
  0098  0087  0070  02B0
  00A0  0018  0020  02C4
  00A8  0173  00E8  02D4
  00B0  0350  0238  02E6
  00B8  093B  0628  02FE
  00C0  0090  0098  0328
  00C8  183D  1A70  033C
  00D0  0508  0468  046F
  00D8  10E7  0DA0  04B3
  00E0  00E1  00F8  054F
  00E8  1689  1AA0  0567
  00F0  0175  0180  06AA
  00F8  0A2F  0760  06D1
  0100  016F  0188  073D
  0108  000C  0008  0754
