Code relocation records:
--- block 0000 ---
  0000:0000 Relative Code unit=PRZEDM blkoff=0000
  0000:0000 Relative Code unit=PRZEDM blkoff=300B
  0000:0004 Relative Code unit=U004C blkoff=9000
  0000:000C Relative Code unit=U0052 blkoff=9000
  0000:000A Relative Code unit=U0058 blkoff=9000
  0000:0000 Relative Code unit=U005E blkoff=0000
  0000:0000 Relative Code unit=U0064 blkoff=300B
  0000:000C Relative Code unit=U006B blkoff=9000
  0000:0100 Relative Code unit=U0070 blkoff=900B
  0000:0000 Relative Code unit=U0073 blkoff=5000
  0000:0000 Relative Code unit=U0078 blkoff=300B
  0000:000C Relative Code unit=U0080 blkoff=9000
  0000:0000 Relative Code unit=U0085 blkoff=300B
  0000:000B Relative Code unit=U008E blkoff=5000
  0000:0000 Relative Code unit=U0093 blkoff=300B
  0000:0000 Relative Code unit=U009B blkoff=300B
  0000:0000 Relative Code unit=U00A0 blkoff=300B
  0000:000C Relative Code unit=U00A5 blkoff=9000
  0000:0000 Relative Code unit=U00AA blkoff=9000
  0000:0002 Relative Code unit=U00AF blkoff=9000
  0000:0000 Relative Code unit=U00B3 blkoff=9000
  0000:0002 Relative Code unit=U00B6 blkoff=9000
  0000:0008 Relative Code unit=U00BA blkoff=9000
  0000:0000 Relative Code unit=U00BE blkoff=300B
  0000:0008 Relative Code unit=U00C8 blkoff=9000
  0000:0008 Relative Code unit=U00CD blkoff=9000
  0000:0014 Relative Code unit=U00D1 blkoff=9000
  0000:0008 Relative Code unit=U00D7 blkoff=9000
  0000:0100 Relative Code unit=U00DA blkoff=900B
  0000:001E Relative Code unit=U00DD blkoff=5000
  0000:0000 Relative Code unit=U00E2 blkoff=300B
  0000:0000 Relative Code unit=U00EA blkoff=300B
  0000:0000 Relative Code unit=U00EF blkoff=300B
  0000:0000 Relative Code unit=U00F4 blkoff=300B
  0000:0000 Relative Code unit=U0006 blkoff=300B
  0000:0004 Relative Code unit=U000F blkoff=9000
  0000:0000 Relative Code unit=U0017 blkoff=300B
  0000:0006 Relative Code unit=U001E blkoff=9000
  0000:0000 Relative Code unit=U0026 blkoff=300B
  0000:0008 Relative Code unit=U002D blkoff=9000
  0000:0000 Relative Code unit=U0035 blkoff=300B
  0000:000A Relative Code unit=U003C blkoff=9000
  0000:0000 Relative Code unit=U0044 blkoff=300B
  0000:000C Relative Code unit=U004B blkoff=9000
  0000:0000 Relative Code unit=U0053 blkoff=300B
  0000:000E Relative Code unit=U005A blkoff=9000
  0000:0000 Relative Code unit=U0062 blkoff=300B
  0000:0010 Relative Code unit=U0069 blkoff=9000
  0000:0000 Relative Code unit=U0071 blkoff=300B
  0000:0014 Relative Code unit=U0078 blkoff=9000
  0000:0000 Relative Code unit=U0080 blkoff=300B
  0000:0012 Relative Code unit=U0087 blkoff=9000
  0000:0000 Relative Code unit=U008F blkoff=300B
  0000:0000 Relative Code unit=U0096 blkoff=9000
  0000:0004 Relative Code unit=U009E blkoff=9000
  0000:0006 Relative Code unit=U00A2 blkoff=9000
  0000:0008 Relative Code unit=U00AC blkoff=9000
  0000:000A Relative Code unit=U00B6 blkoff=9000
  0000:000C Relative Code unit=U00C0 blkoff=9000
  0000:000E Relative Code unit=U00CA blkoff=9000
  0000:0010 Relative Code unit=U00D4 blkoff=9000
  0000:0014 Relative Code unit=U00DE blkoff=9000
  0000:0012 Relative Code unit=U00E8 blkoff=9000
  0000:0000 Relative Code unit=U00F2 blkoff=9000
  0000:0000 Relative Code unit=U00FC blkoff=300B
  0000:0008 Relative Code unit=U0009 blkoff=9000
  0000:0000 Relative Code unit=U0011 blkoff=300B
  0000:0006 Relative Code unit=U0018 blkoff=9000
  0000:0000 Relative Code unit=U0020 blkoff=300B
  0000:0002 Relative Code unit=U0027 blkoff=9000
  0000:0000 Relative Code unit=U002F blkoff=300B
  0000:0004 Relative Code unit=U0036 blkoff=9000
  0000:0000 Relative Code unit=U003E blkoff=300B
  0000:0000 Relative Code unit=U0045 blkoff=9000
  0000:0000 Relative Code unit=U004D blkoff=300B
  0000:0002 Relative Code unit=U0054 blkoff=9000
  0000:0008 Relative Code unit=U005C blkoff=9000
  0000:0006 Relative Code unit=U0060 blkoff=9000
  0000:0002 Relative Code unit=U0067 blkoff=9000
  0000:0004 Relative Code unit=U006E blkoff=9000
  0000:0000 Relative Code unit=U0075 blkoff=9000
  0000:0002 Relative Code unit=U007C blkoff=9000
  0000:0000 Relative Code unit=U0083 blkoff=300B
  0000:000A Relative Code unit=U0090 blkoff=9000
  0000:0000 Relative Code unit=U0098 blkoff=300B
  0000:000C Relative Code unit=U009F blkoff=9000
  0000:0000 Relative Code unit=U00A7 blkoff=300B
  0000:000E Relative Code unit=U00AE blkoff=9000
  0000:0000 Relative Code unit=U00B6 blkoff=300B
  0000:0010 Relative Code unit=U00BD blkoff=9000
  0000:0000 Relative Code unit=U00C5 blkoff=300B
  0000:0012 Relative Code unit=U00CC blkoff=9000
  0000:0000 Relative Code unit=U00D4 blkoff=300B
  0000:0014 Relative Code unit=U00DB blkoff=9000
  0000:0000 Relative Code unit=U00E3 blkoff=300B
  0000:0000 Relative Code unit=U00EA blkoff=9000
  0000:0000 Relative Code unit=U00F2 blkoff=300B
  0000:0002 Relative Code unit=U00F9 blkoff=9000
  0000:0000 Relative Code unit=U0001 blkoff=300B
  0000:0004 Relative Code unit=U0008 blkoff=9000
  0000:000A Relative Code unit=U0010 blkoff=9000
  0000:000C Relative Code unit=U0014 blkoff=9000
  0000:000E Relative Code unit=U001E blkoff=9000
  0000:0010 Relative Code unit=U0028 blkoff=9000
  0000:0012 Relative Code unit=U0032 blkoff=9000
  0000:0014 Relative Code unit=U003C blkoff=9000
  0000:0000 Relative Code unit=U0046 blkoff=9000
  0000:0002 Relative Code unit=U0050 blkoff=9000
  0000:0004 Relative Code unit=U005A blkoff=9000
  0000:0000 Relative Code unit=U0064 blkoff=300B
  0000:0006 Relative Code unit=U0071 blkoff=9000
