Entry records (ofs  code_block:offset  exported  proc)
  0000  65535 :FFFF  exp=0  
  0008  0     :0000  exp=0  
  0010  0     :010F  exp=0  
  0018  0     :0116  exp=0  
  0020  216   :0000  exp=0  
  0028  224   :0000  exp=0  
  0030  224   :003D  exp=0  
  0038  224   :00E3  exp=0  
  0040  224   :00FC  exp=0  
  0048  232   :0000  exp=0  
  0050  16    :003D  exp=0  
  0058  240   :0000  exp=0  
  0060  240   :001A  exp=0  
  0068  16    :0037  exp=0  
  0070  240   :003E  exp=0  
  0078  240   :007F  exp=0  
  0080  240   :00AB  exp=0  
  0088  240   :00F1  exp=0  
  0090  240   :011C  exp=0  
  0098  240   :012E  exp=0  
  00A0  240   :0149  exp=0  
  00A8  240   :01A8  exp=0  
  00B0  248   :0000  exp=0  
  00B8  248   :0095  exp=0  
  00C0  248   :00B5  exp=0  
  00C8  56    :0288  exp=0  
  00D0  56    :02A7  exp=0  
  00D8  56    :02B6  exp=0  
  00E0  56    :02E8  exp=0  
  00E8  56    :02EC  exp=0  
  00F0  56    :02F1  exp=0  
  00F8  56    :02F6  exp=0  
  0100  56    :02FB  exp=0  
  0108  56    :0300  exp=0  
  0110  8     :0000  exp=0  
  0118  8     :0015  exp=0  
  0120  8     :002F  exp=0  
  0128  8     :0041  exp=0  
  0130  8     :005D  exp=0  
  0138  8     :0079  exp=0  
  0140  248   :002A  exp=0  
  0148  248   :0040  exp=0  
  0150  248   :0061  exp=0  
  0158  248   :00D5  exp=0  
  0160  248   :00F1  exp=0  
  0168  248   :010F  exp=0  
  0170  248   :012B  exp=0  
  0178  248   :0142  exp=0  
  0180  200   :004F  exp=0  
  0188  16    :0000  exp=0  
  0190  16    :0007  exp=0  
  0198  16    :0015  exp=0  
  01A0  16    :0043  exp=0  
  01A8  144   :0060  exp=0  
  01B0  112   :003B  exp=0  
  01B8  128   :005C  exp=0  
  01C0  120   :0000  exp=0  
  01C8  96    :0046  exp=0  
  01D0  88    :0144  exp=0  
  01D8  88    :0165  exp=0  
  01E0  160   :00F8  exp=0  
  01E8  144   :0000  exp=0  
  01F0  112   :0000  exp=0  
  01F8  128   :0000  exp=0  
  0200  96    :0000  exp=0  
  0208  88    :0104  exp=0  
  0210  88    :0165  exp=0  
  0218  160   :00F1  exp=0  
  0220  288   :0095  exp=0  
  0228  80    :0001  exp=0  
  0230  80    :007F  exp=0  
  0238  80    :0084  exp=0  
  0240  80    :00D9  exp=0  
  0248  160   :0001  exp=0  
  0250  160   :003C  exp=0  
  0258  160   :0045  exp=0  
  0260  160   :00BD  exp=0  
  0268  168   :0000  exp=0  
  0270  168   :0018  exp=0  
  0278  152   :0000  exp=0  
  0280  152   :0005  exp=0  
  0288  152   :000A  exp=0  
